"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/25/2018","Sebmf Lake Chabot","SEBMF LAKE CHABOT MF CASTRO VALLEY CA","10.00","debit","Doctor","Citi ThankYou Preferred","",""
"4/25/2018","Specialty S Cafe","SPECIALTY S CAFE & BAK 415-3622052 CA","10.64","debit","Restaurants","Citi ThankYou Preferred","",""
"4/25/2018","Jack in the Box","JACK IN THE BOX 0419 CASTRO VALLEY CA","6.97","debit","Fast Food","Citi ThankYou Preferred","",""
"4/25/2018","Safeway","SAFEWAY #3010 CASTRO VALLEY CA","281.35","debit","Groceries","Citi ThankYou Preferred","",""
"4/25/2018","Uber.com","UBER   *EATS 47HGS 800-592-8996CA           04/24","4.00","debit","Rental Car & Taxi","TOTAL CHECKING","",""
"4/25/2018","Uber.com","UBER   *EATS 47HGS 800-592-8996CA           04/24","26.18","debit","Rental Car & Taxi","TOTAL CHECKING","",""
"4/25/2018","Transfer from TOTAL CHECKING","Online Transfer from CHK ...5432transaction#: 7091389874","1000.00","credit","Transfer","TOTAL CHECKING","",""
"4/25/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...5053 transaction#: 7091389874 04/25","1000.00","debit","Transfer","TOTAL CHECKING","",""
"4/25/2018","Usa Soda Snack","USA*SODA SNACK VENDI SOUTH SAN FRA CA        04/25","1.50","debit","Fast Food","TOTAL CHECKING","",""
"4/24/2018","Target","TARGET 00003285 DUBLIN CA","128.71","debit","Shopping","Citi ThankYou Preferred","",""
"4/24/2018","Red Tractor Cafe Inc","RED TRACTOR CAFE 3 DUBLIN CA","20.72","debit","Restaurants","Citi ThankYou Preferred","",""
"4/24/2018","Knudsens Ice Creamery","KNUDSENS ICE CREAMERY CASTRO VALLEY CA","5.50","debit","Restaurants","Citi ThankYou Preferred","",""
"4/24/2018","Spotify","SPOTIFY*USA-SUBS 877-778-1161 NY","14.99","debit","Music","Citi ThankYou Preferred","",""
"4/24/2018","Cv Car Wash","76 - 76 CV CAR WASH CASTRO VALLEY CA","25.17","debit","Service & Parts","Citi ThankYou Preferred","",""
"4/24/2018","Specialty's Cafe & Bakery Inc.","SPECIALTYS CAFE AND BA REDWOOD CITY CA","2.99","debit","Restaurants","Citi ThankYou Preferred","",""
"4/24/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","23.66","debit","Shopping","Citi ThankYou Preferred","",""
"4/24/2018","Specialty S Cafe","SPECIALTY S CAFE & BAK 415-3622052 CA","10.64","debit","Restaurants","Citi ThankYou Preferred","",""
"4/24/2018","Nordstrom","NORDSTROM #0430 PLEASANTON CA04/22","9.40","debit","Clothing","TOTAL CHECKING","",""
"4/24/2018","State Farm","STATE FARM RO 27 SFPPPPD ID: 9000307001","224.49","debit","Auto Insurance","TOTAL CHECKING","",""
"4/23/2018","Popeye's","POPEYES #5928 HAYWARD CA","32.37","debit","Restaurants","Citi ThankYou Preferred","",""
"4/23/2018","Pooja Threads Be","POOJA THREADS & BE CASTRO VALLEY CA","16.00","debit","Personal Care","Citi ThankYou Preferred","",""
"4/23/2018","Specialty's Cafe & Bakery Inc.","SPECIALTYS CAFE AND BA REDWOOD CITY CA","2.99","debit","Restaurants","Citi ThankYou Preferred","",""
"4/23/2018","Arco","ARCO 7119 MILLBRAE CA04/21","33.81","debit","Gas & Fuel","TOTAL CHECKING","",""
"4/23/2018","Nordstrom","NORDSTROM        TRANSPPD ID: 9044013364","161.51","debit","Clothing","TOTAL CHECKING","",""
"4/23/2018","Online Transfer Chk","Online Transfer to CHK ...5079 transaction#: 7087766985 04/23","500.00","debit","Transfer","TOTAL CHECKING","",""
"4/23/2018","BART","BART-CASTRO VALLEY QPS 5104646474 CA         04/21","33.90","debit","Public Transportation","TOTAL CHECKING","",""
"4/22/2018","Lazy Dog Restaurant","LAZY DOG RESTAURANT 15 DUBLIN CA","60.24","debit","Restaurants","Citi ThankYou Preferred","",""
"4/22/2018","BJ's Restaurant","BJS RESTAURANTS 443 SAN MATEO CA","115.79","debit","Restaurants","Citi ThankYou Preferred","",""
"4/22/2018","Regis Salon","REGIS SALON 6544 PLEASANTON CA","24.00","debit","Hair","Citi ThankYou Preferred","",""
"4/22/2018","Nordstrom","NORDSTROM #0430 PLEASANTON CA","15.74","debit","Clothing","Citi ThankYou Preferred","",""
"4/22/2018","Jack in the Box","JACK IN THE BOX 0419 CASTRO VALLEY CA","28.74","debit","Fast Food","Citi ThankYou Preferred","",""
"4/22/2018","Nordstrom","NORDSTROM #0430 PLEASANTON CA","44.74","debit","Clothing","Citi ThankYou Preferred","",""
"4/22/2018","Justice","JUSTICE #0898 PLEASANTON CA","29.17","debit","Clothing","Citi ThankYou Preferred","",""
"4/22/2018","Justice","JUSTICE #0898 PLEASANTON CA","18.35","debit","Clothing","Citi ThankYou Preferred","",""
"4/21/2018","Legacy Nola Llc","LEGACY NOLA 2 LLC NEW ORLEANS LA","13.86","debit","Restaurants","Citi ThankYou Preferred","",""
"4/21/2018","Squ Museum Ice","SQU*SQ *MUSEUM OF ICE San Francisco CA","13.02","debit","Arts","Citi ThankYou Preferred","",""
"4/21/2018","Beard Papa Sweets Cafe","BEARD PAPA SWEET CAFE SAN FRANCISCO CA","17.30","debit","Restaurants","Citi ThankYou Preferred","",""
"4/21/2018","KFC","KFC #290 CASTRO VALLEY CA","21.85","debit","Fast Food","Citi ThankYou Preferred","",""
"4/21/2018","BART","BART SFIA SAN FRANCISCO CA","9.00","debit","Public Transportation","Citi ThankYou Preferred","",""
"4/21/2018","Virgin America","VIR AMER98415003568980 SAN FRANCISCO CA","25.00","debit","Air Travel","Citi ThankYou Preferred","",""
"4/21/2018","Sfo Parkingcen","60776 - SFO PARKINGCEN SAN FRANCISCO CA","108.00","debit","Parking","Citi ThankYou Preferred","",""
"4/20/2018","T-Mobile","TMOBILE*POSTPAID PDA 800-937-8997 WA","593.58","debit","Mobile Phone","Citi ThankYou Preferred","",""
"4/20/2018","Hyatt","HYATT REGENCY NW ORLE NEW ORLEANS LA","43.94","debit","Hotel","Citi ThankYou Preferred","",""
"4/20/2018","Linkage Bioscien Payroll","LINKAGE BIOSCIEN PAYROLLPPD ID: 9002417086","2666.83","credit","Paycheck","TOTAL CHECKING","",""
"4/19/2018","Pamf Pa Online","PAMF PA ONLINE BILL PA 8772521777 CA","21.12","debit","Doctor","Citi ThankYou Preferred","",""
"4/19/2018","Haha Ramen Sushi","DOORDASH*HAHA RAMEN SU 6506819470 Digital Account Number XXXXXXXXXXXX6921","42.69","debit","Restaurants","Citi ThankYou Preferred","",""
"4/19/2018","Hudson News","HUDSONNEWS ST1453 SOUTH SAN FRA CA","16.19","debit","Newspapers & Magazines","Citi ThankYou Preferred","",""
"4/19/2018","Cafe Beignet","CAFE BEIGNET NEW ORLEANS LA","28.61","debit","Restaurants","Citi ThankYou Preferred","",""
"4/19/2018","Specialty S Cafe","SPECIALTY S CAFE & BAK 415-3622052 CA","10.64","debit","Restaurants","Citi ThankYou Preferred","",""
"4/19/2018","Ua Inflt","UA INFLT01629286953711 HOUSTON TX","6.99","debit","Air Travel","Citi ThankYou Preferred","",""
"4/19/2018","Hyatt","HYATT REGENCY NW ORLE NEW ORLEANS LA","35.29","debit","Hotel","Citi ThankYou Preferred","",""
"4/19/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         04/19","9.98","debit","Music","TOTAL CHECKING","",""
"4/19/2018","Online Transfer Chk","Online Transfer from CHK ...5079transaction#: 7076400460","100.00","credit","Transfer","TOTAL CHECKING","",""
"4/19/2018","Pacific Gas & Electric","PGANDE           WEB ONLINE 94190154033018  WEB ID: 5940742640","189.55","debit","Utilities","TOTAL CHECKING","",""
"4/18/2018","United Tx","UNITED 01629285527015 800-932-2732 TX","96.00","debit","Air Travel","Citi ThankYou Preferred","",""
"4/18/2018","Target","TARGET 00003301 PLEASANT HILL CA","167.73","debit","Shopping","Citi ThankYou Preferred","",""
"4/18/2018","United Tx","UNITED 01626080804401 800-932-2732 TX","25.00","debit","Air Travel","Citi ThankYou Preferred","",""
"4/18/2018","I Love Teriyaki & Sushi","I LOVE TERIYAKI & SUSH CONCORD CA","65.98","debit","Restaurants","Citi ThankYou Preferred","",""
"4/18/2018","Specialty S Cafe","SPECIALTY S CAFE & BAK 415-3622052 CA","10.64","debit","Restaurants","Citi ThankYou Preferred","",""
"4/18/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         04/17","7.99","debit","Music","TOTAL CHECKING","",""
"4/17/2018","Shell","SHELL OIL 57444214605 SAN MATEO CA","34.01","debit","Gas & Fuel","Citi ThankYou Preferred","",""
"4/17/2018","Knudsens Ice Creamery","KNUDSENS ICE CREAMERY CASTRO VALLEY CA","7.50","debit","Restaurants","Citi ThankYou Preferred","",""
"4/17/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","21.42","debit","Shopping","Citi ThankYou Preferred","",""
"4/17/2018","Transfer from TOTAL CHECKING","Online Transfer from  CHK ...5432 transaction#: 6986020458","25.00","credit","Transfer","TOTAL CHECKING","",""
"4/17/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...5432 transaction#: 7072027572 04/17","100.00","debit","Transfer","TOTAL CHECKING","",""
"4/17/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...5432 transaction#: 7073379613 04/17","80.00","debit","Transfer","TOTAL CHECKING","",""
"4/17/2018","Costco","GOOGLE *Costco g.co/helppay# CA04/17","127.45","debit","Shopping","TOTAL CHECKING","",""
"4/17/2018","Account Maintenance Fee","MONTHLY SERVICE FEE","12.00","debit","Bank Fee","TOTAL CHECKING","",""
"4/17/2018","Tokyo Otaku Mode","TOKYO OTAKU MODE IAT PAYPAL 1002927751474   WEB ID: 770510487C","12.00","debit","Laundry","TOTAL CHECKING","",""
"4/17/2018","Transfer to TOTAL CHECKING","Online Transfer to  CHK ...9412transaction#: 6986020458 04/17","25.00","debit","Transfer","TOTAL CHECKING","",""
"4/17/2018","Transfer from TOTAL CHECKING","Online Transfer from CHK ...9412transaction#: 7072027572","100.00","credit","Transfer","TOTAL CHECKING","",""
"4/17/2018","Citi Autopay Web","CITI AUTOPAY     PAYMENT    082621395633949 WEB ID: CITICARDAP","185.00","debit","Bills & Utilities","TOTAL CHECKING","",""
"4/17/2018","Transfer from TOTAL CHECKING","Online Transfer from CHK ...5053transaction#: 7073379613","80.00","credit","Transfer","TOTAL CHECKING","",""
"4/16/2018","Costco","COSTCO WHSE #0021 DANVILLE CA883698  04/14","125.51","debit","Shopping","TOTAL CHECKING","",""
"4/16/2018","Costco","COSTCO WHSE #0021 DANVILLE CA057261  04/14","6.50","debit","Shopping","TOTAL CHECKING","",""
"4/16/2018","Transfer from TOTAL CHECKING","Online Transfer from CHK ...5432transaction#: 7066115008","250.00","credit","Transfer","TOTAL CHECKING","",""
"4/16/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...5053 transaction#: 7066115008 04/16","250.00","debit","Transfer","TOTAL CHECKING","",""
"4/16/2018","Citi Online Web","CITI CARD ONLINE PAYMENT    122618259144313 WEB ID: CITICTP","12377.69","debit","Credit Card Payment","TOTAL CHECKING","",""
"4/16/2018","Great Lakes Student","GREAT LAKES      STUDENT LNPPD ID: 9102000901","239.34","debit","Student Loan","TOTAL CHECKING","",""
"4/15/2018","BJ's Restaurant","BJ'S RESTAURANTS 524 DUBLIN CA","48.57","debit","Restaurants","Citi ThankYou Preferred","",""
"4/15/2018","CBS All Access","CBS ALL ACCESS 8882745343 CA","9.99","debit","Television","Citi ThankYou Preferred","",""
"4/15/2018","Lazy Dog Restaurant","LAZY DOG RESTAURANT 15 DUBLIN CA","9.10","debit","Restaurants","Citi ThankYou Preferred","",""
"4/15/2018","Sq Koja Valley","SQ *SQ *KOJA VALLEY FA Santa Clara CA","31.97","debit","Restaurants","Citi ThankYou Preferred","",""
"4/15/2018","Online Thank You","ONLINE PAYMENT, THANK YOU","12377.69","credit","Credit Card Payment","Citi ThankYou Preferred","",""
"4/15/2018","Shell","SHELL OIL 57444152805 DUBLIN CA","30.70","debit","Gas & Fuel","Citi ThankYou Preferred","",""
"4/15/2018","Jack in the Box","JACK IN THE BOX 0419 CASTRO VALLEY CA","26.67","debit","Fast Food","Citi ThankYou Preferred","",""
"4/15/2018","Starbucks","STARBUCKS STORE 05913 SANTA CLARA CA","12.45","debit","Coffee Shops","Citi ThankYou Preferred","",""
"4/15/2018","Sq Koja Valley","SQ *SQ *KOJA VALLEY FA Santa Clara CA","28.62","debit","Restaurants","Citi ThankYou Preferred","",""
"4/15/2018","Cv Car Wash","76 - 76 CV CAR WASH CASTRO VALLEY CA","31.48","debit","Service & Parts","Citi ThankYou Preferred","",""
"4/15/2018","Lazy Dog Restaurant","LAZY DOG RESTAURANT 15 DUBLIN CA","53.05","debit","Restaurants","Citi ThankYou Preferred","",""
"4/15/2018","Ca Sees Candy","0536/2CA036 SEES CANDY SANTA CLARA CA","13.50","debit","Food & Dining","Citi ThankYou Preferred","",""
"4/15/2018","Autopay Rautopay Auto","AUTOPAY 999990000084274RAUTOPAY AUTO-PMT","185.00","credit","Credit Card Payment","Citi ThankYou Preferred","",""
"4/14/2018","Act Hayward Recreation","ACT*Hayward Recreation HAYWARD CA","4.00","debit","Kids Activities","Citi ThankYou Preferred","",""
"4/14/2018","Wendy's","SQ *SQ *WEND'S CAF Castro Valley CA","40.91","debit","Fast Food","Citi ThankYou Preferred","",""
"4/14/2018","Knudsens Ice Creamery","KNUDSENS ICE CREAMERY CASTRO VALLEY CA","4.00","debit","Restaurants","Citi ThankYou Preferred","",""
"4/13/2018","Uber.com","UBER EATS XX4HF 8005928996 CA","26.18","debit","Rental Car & Taxi","Citi ThankYou Preferred","",""
"4/13/2018","Sq Milkcow Cafe","SQ *SQ *MILKCOW CAFE Castro Valley CA","15.74","debit","Restaurants","Citi ThankYou Preferred","",""
"4/13/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","48.36","debit","Shopping","Citi ThankYou Preferred","",""
"4/13/2018","State Farm","STATE FARM INSURANCE 8009566310 IL","223.98","debit","Auto Insurance","Citi ThankYou Preferred","",""
"4/13/2018","Panera Bread","PANERA BREAD #601121 DUBLIN CA","27.17","debit","Fast Food","Citi ThankYou Preferred","",""
"4/13/2018","Target","TARGET 00003285 DUBLIN CA","59.05","credit","Shopping","Citi ThankYou Preferred","",""
"4/13/2018","Specialty S Cafe","SPECIALTY S CAFE & BAK 415-3622052 CA","10.64","debit","Restaurants","Citi ThankYou Preferred","",""
"4/13/2018","Uber.com","UBER EATS YPMJ3 8005928996 CA","4.00","debit","Rental Car & Taxi","Citi ThankYou Preferred","",""
"4/13/2018","Target","TARGET 00003285 DUBLIN CA","59.60","debit","Shopping","Citi ThankYou Preferred","",""
"4/13/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...5432 transaction#: 7061841778 04/13","1000.00","debit","Transfer","TOTAL CHECKING","",""
"4/13/2018","Armo Biosciences Direct","ARMO BIOSCIENCES DIRECT DEPPPD ID: 9111111101","3922.29","credit","Paycheck","TOTAL CHECKING","",""
"4/13/2018","Transfer from TOTAL CHECKING","Online Transfer from CHK ...9412transaction#: 7061841778","1000.00","credit","Transfer","TOTAL CHECKING","",""
"4/12/2018","In-N-Out Burger","IN N OUT BURGER 118 SAN RAMON CA","17.43","debit","Fast Food","Citi ThankYou Preferred","",""
"4/12/2018","Grand Martco Inc.","76 - GRAND MARTCO INC SOUTH SAN FRA CA","42.41","debit","Gas & Fuel","Citi ThankYou Preferred","",""
"4/12/2018","Specialty S Cafe","SPECIALTY S CAFE & BAK 415-3622052 CA","10.64","debit","Restaurants","Citi ThankYou Preferred","",""
"4/12/2018","Account Maintenance Fee","MONTHLY SERVICE FEE","12.00","debit","Bank Fee","TOTAL CHECKING","",""
"4/12/2018","Transfer from TOTAL CHECKING","Online Transfer from CHK ...5432transaction#: 7057421257","100.00","credit","Transfer","TOTAL CHECKING","",""
"4/12/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...5053 transaction#: 7057421257 04/12","100.00","debit","Transfer","TOTAL CHECKING","",""
"4/11/2018","Starbucks","STARBUCKS STORE 05653 UNION CITY CA","8.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"4/11/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         04/10","2.99","debit","Music","TOTAL CHECKING","",""
"4/10/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","28.89","debit","Shopping","Citi ThankYou Preferred","",""
"4/10/2018","Specialty's Cafe & Bakery Inc.","SPECIALTYS CAFE AND BA REDWOOD CITY CA","12.77","debit","Restaurants","Citi ThankYou Preferred","",""
"4/10/2018","Chevron","CHEVRON 0305605 CASTRO VALLEY CA","33.17","debit","Gas & Fuel","Citi ThankYou Preferred","",""
"4/10/2018","Knudsens Ice Creamery","KNUDSENS ICE CREAMERY CASTRO VALLEY CA","32.32","debit","Restaurants","Citi ThankYou Preferred","",""
"4/10/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","29.48","debit","Shopping","Citi ThankYou Preferred","",""
"4/10/2018","Specialty S Cafe","SPECIALTY S CAFE & BAK 415-3622052 CA","10.64","debit","Restaurants","Citi ThankYou Preferred","",""
"4/10/2018","Chevron","CHEVRON/XTRA OIL COM CASTRO VALLEY CA046349  04/10","39.20","debit","Gas & Fuel","TOTAL CHECKING","",""
"4/10/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         04/10","39.99","debit","Music","TOTAL CHECKING","",""
"4/10/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         04/10","0.99","debit","Music","TOTAL CHECKING","",""
"4/09/2018","Target","TARGET 00003285 DUBLIN CA","131.24","debit","Shopping","Citi ThankYou Preferred","",""
"4/09/2018","Cardcookie Or","CARDCOOKIE12 120-901 9256274250 OR","88.00","debit","Food & Dining","Citi ThankYou Preferred","",""
"4/09/2018","Red Tractor Cafe Inc","RED TRACTOR CAFE 3 DUBLIN CA","19.09","debit","Restaurants","Citi ThankYou Preferred","",""
"4/09/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         04/08","9.99","debit","Music","TOTAL CHECKING","",""
"4/09/2018","Crow Canyon 76","CROW CANYON CRK  01520155PPD ID: H942931438","486.00","debit","Gas & Fuel","TOTAL CHECKING","",""
"4/09/2018","Online Transfer Chk","Online Transfer to CHK ...5079 transaction#: 7049796922 04/09","200.00","debit","Transfer","TOTAL CHECKING","",""
"4/08/2018","Starbucks","STARBUCKS 800-782-7282 WA","25.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"4/08/2018","BJ's Restaurant","BJ'S RESTAURANTS 524 DUBLIN CA","51.70","debit","Restaurants","Citi ThankYou Preferred","",""
"4/08/2018","The Boathouse At River Islands","THE BOATHOUSE AT RIVER LATHROP CA","58.58","debit","Restaurants","Citi ThankYou Preferred","",""
"4/08/2018","Chevron","CHEVRON 0370465 LIVERMORE CA","38.48","debit","Gas & Fuel","Citi ThankYou Preferred","",""
"4/07/2018","I Love Teriyaki & Sushi","I LOVE TERIYAKI & SUSH CONCORD CA","102.76","debit","Restaurants","Citi ThankYou Preferred","",""
"4/07/2018","Fastrak","FASTRAK CSC 04154868655 CA","195.00","debit","Auto & Transport","Citi ThankYou Preferred","",""
"4/07/2018","Specialty S Cafe","SPECIALTY S CAFE & BAK 415-3622052 CA","10.64","debit","Restaurants","Citi ThankYou Preferred","",""
"4/07/2018","Mel's Play Place","SQ *SQ *MEL'S PLAY PLA Castro Valley CA","9.00","debit","Food & Dining","Citi ThankYou Preferred","",""
"4/07/2018","Disney","THE DISNEY STORE #317 CONCORD CA","84.39","debit","Travel","Citi ThankYou Preferred","",""
"4/07/2018","Starbucks","STARBUCKS STORE 06505 CONCORD CA","3.70","debit","Coffee Shops","Citi ThankYou Preferred","",""
"4/06/2018","Old Navy","OLD NAVY ON-LINE 800-OLDNAVY OH","22.94","debit","Clothing","Citi ThankYou Preferred","",""
"4/06/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","19.15","debit","Shopping","Citi ThankYou Preferred","",""
"4/06/2018","Starbucks","STARBUCKS 800-782-7282 WA","25.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"4/06/2018","Specialty S Cafe","SPECIALTY S CAFE & BAK 415-3622052 CA","10.64","debit","Restaurants","Citi ThankYou Preferred","",""
"4/06/2018","Interest Charge","PURCHASE INTEREST CHARGE","2.19","debit","Finance Charge","CREDIT CARD","",""
"4/06/2018","Arco","ARCO#06139 FOSTER CITY CA04/06","24.28","debit","Gas & Fuel","TOTAL CHECKING","",""
"4/06/2018","Transfer from TOTAL CHECKING","Online Transfer from CHK ...5432transaction#: 7045466981","300.00","credit","Transfer","TOTAL CHECKING","",""
"4/06/2018","Linkage Bioscien Payroll","LINKAGE BIOSCIEN PAYROLLPPD ID: 9002417086","2666.84","credit","Paycheck","TOTAL CHECKING","",""
"4/06/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...5053 transaction#: 7045466981 04/06","300.00","debit","Transfer","TOTAL CHECKING","",""
"4/05/2018","Chick-Fil-A","CHICK-FIL-A #03207 PLEASANTON CA","25.32","debit","Fast Food","Citi ThankYou Preferred","",""
"4/05/2018","Barnes & Noble","BARNES & NOBLE #2942 DUBLIN CA","63.27","debit","Books","Citi ThankYou Preferred","",""
"4/05/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","21.08","debit","Shopping","Citi ThankYou Preferred","",""
"4/05/2018","Specialty S Cafe","SPECIALTY S CAFE & BAK 415-3622052 CA","10.64","debit","Restaurants","Citi ThankYou Preferred","",""
"4/05/2018","Uber.com","UBER   *EATS 5EBOP 800-592-8996CA           04/04","29.90","debit","Rental Car & Taxi","TOTAL CHECKING","",""
"4/05/2018","Insufficient Funds Fee","INSUFFICIENT FUNDS FEE FOR A $29.90 CARD PURCHASE - DETAILS:       0404UBER   *EATS 5EBOP 800-592-8996 CA   04347697056861633                                                                                           00","34.00","debit","Bank Fee","TOTAL CHECKING","",""
"4/05/2018","Uber.com","UBER   *EATS 5EBOP 800-592-8996CA           04/04","4.00","debit","Rental Car & Taxi","TOTAL CHECKING","",""
"4/05/2018","Transfer to CREDIT CARD","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","25.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"4/05/2018","Arco","ARCO 7119 MILLBRAE CA04/05","32.24","debit","Gas & Fuel","TOTAL CHECKING","",""
"4/04/2018","Specialty S Cafe","SPECIALTY S CAFE & BAK 415-3622052 CA","10.64","debit","Restaurants","Citi ThankYou Preferred","",""
"4/04/2018","Hulu","HLU*HULU 38902951-U HULU.COM/BILL CA","43.99","debit","Movies & DVDs","Citi ThankYou Preferred","",""
"4/04/2018","Transfer from TOTAL CHECKING","AUTOMATIC PAYMENT - THANK","25.00","credit","Credit Card Payment","CREDIT CARD","",""
"4/04/2018","Insufficient Funds Fee","INSUFFICIENT FUNDS FEE FOR A $9.99 CARD PURCHASE - DETAILS:       0403APL* ITUNES.COM/BILL 866-712-7753 CA 04347697056861633                                                                                           01","34.00","debit","Bank Fee","TOTAL CHECKING","",""
"4/04/2018","Insufficient Funds Fee","INSUFFICIENT FUNDS FEE FOR A $9.98 CARD PURCHASE - DETAILS:       0403APL* ITUNES.COM/BILL 866-712-7753 CA 04347697056861633                                                                                           01","34.00","debit","Bank Fee","TOTAL CHECKING","",""
"4/04/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         04/03","9.98","debit","Music","TOTAL CHECKING","",""
"4/04/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         04/03","9.99","debit","Music","TOTAL CHECKING","",""
"4/04/2018","Syn Chrony Bank","Online Payment 6946634536 To SYNCHRONY BANK 04/04","160.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"4/04/2018","Remitly Wa","REMITLY 877-526-4216 WA04/03","1238.92","debit","Loan Payment","TOTAL CHECKING","",""
"4/03/2018","Chevron","CHEVRON 0207718 MENLO PARK CA","32.72","debit","Gas & Fuel","Citi ThankYou Preferred","",""
"4/03/2018","Chevron","CHEVRON 0207718 MENLO PARK CA","1.89","debit","Gas & Fuel","Citi ThankYou Preferred","",""
"4/03/2018","Specialty S Cafe","SPECIALTY S CAFE & BAK 415-3622052 CA","9.78","debit","Restaurants","Citi ThankYou Preferred","",""
"4/03/2018","Lazy Dog Restaurant","LAZY DOG RESTAURANT 15 DUBLIN CA","42.98","debit","Restaurants","Citi ThankYou Preferred","",""
"4/03/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         04/02","0.99","debit","Music","TOTAL CHECKING","",""
"4/03/2018","Fid Bkg Svc","FID BKG SVC LLC  MONEYLINEPPD ID: 0368504603","0.02","credit","Income","TOTAL CHECKING","",""
"4/03/2018","Remitly Ii Wa","REMITLY II 877-526-4216 WA04/02","303.99","debit","Gift","TOTAL CHECKING","",""
"4/03/2018","Comcast","COMCAST          CABLEPPD ID: 0000213249","127.73","debit","Television","TOTAL CHECKING","",""
"4/03/2018","Fremont Bank Loan","FREMONT BANK     LOAN PYMT  8001710543      WEB ID: 1941569025","2266.82","debit","Mortgage & Rent","TOTAL CHECKING","",""
